"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","POST /orgs/credits/purchase — несоответствие суммы и кредитов","tests.api","2026-08-30","broken","2026-08-30","TestBillingApi","test_billing_api","",""
"","0","GET /auth/me — получить данные текущего пользователя","tests.api","2026-08-30","broken","2026-08-30","TestAuthApi","test_auth_api","",""
"","0","POST /orgs/credits/purchase — отрицательное количество кредитов возвращает 400","tests.api","2026-08-30","broken","2026-08-30","TestBillingApi","test_billing_api","",""
"","0","POST /products — создать товар с валидными данными","tests.api","2026-08-30","broken","2026-08-30","TestProductsApi","test_products_api","",""
"","0","GET /orgs/plans — получить список тарифных планов","tests.api","2026-08-30","broken","2026-08-30","TestBillingApi","test_billing_api","",""
"","573","POST /auth/login — неверный пароль возвращает 401","tests.api","2026-08-30","broken","2026-08-30","TestAuthApi","test_auth_api","",""
"","422","Успешный логин с валидными кредами","tests.ui","2026-08-30","broken","2026-08-30","TestAuth","test_auth","",""
"","0","POST /orgs/credits/purchase — недостаточно средств возвращает 400","tests.api","2026-08-30","broken","2026-08-30","TestBillingApi","test_billing_api","",""
"","406","Логин с неверным паролем — должна появиться ошибка","tests.ui","2026-08-30","broken","2026-08-30","TestAuth","test_auth","",""
"","588","POST /auth/login — успешный логин","tests.api","2026-08-30","broken","2026-08-30","TestAuthApi","test_auth_api","",""
"","0","GET /products — получить список товаров","tests.api","2026-08-30","broken","2026-08-30","TestProductsApi","test_products_api","",""
"","0","POST /products — создать товар с невалидным URL возвращает 400","tests.api","2026-08-30","skipped","2026-08-30","TestProductsApi","test_products_api","",""
"","0","GET /orgs/me — получить данные организации","tests.api","2026-08-30","broken","2026-08-30","TestOrgsApi","test_orgs_api","",""
